name,description,price,category,about,specifications
"UltraSharp 27"" Monitor","High color accuracy IPS display ideal for designers",349.99,"Monitors","Imported scraped dataset","Resolution: 2560x1440; Panel: IPS"
"ErgoFlex Standing Desk","Electric height adjustment with memory presets",499.00,"Standing Desks","Imported scraped dataset","Height range: 28-48 inches; Load capacity: 200 lbs"
"Mechanical Keyboard Pro","RGB backlight and hot-swappable switches",129.99,"Keyboards","Imported scraped dataset","Switches: Gateron Red; Layout: 87-key"
"ZenLite Wireless Mouse","Silent clicks with ergonomic design",59.99,"Mice","Imported scraped dataset","DPI range: 800-3200"
"ProBook X15 Laptop","Lightweight aluminum laptop for productivity",1299.00,"Laptops","Imported scraped dataset","CPU: i7; RAM: 16GB; SSD: 512GB NVMe"
"GalaxyView 4K Monitor","Curved 32-inch 4K display for immersive viewing",399.99,"Monitors","Imported scraped dataset","Resolution: 3840x2160; Refresh rate: 144Hz"
"CarbonLift Desk","Sturdy manual adjustable desk with carbon finish",299.00,"Standing Desks","Imported scraped dataset","Height: 30–46 inches; Surface: 55 inches"
"SilentTouch Keyboard","Low-profile quiet keys suited for office work",49.99,"Keyboards","Imported scraped dataset","Connectivity: Wireless; Layout: Full size"
"LaserPoint Precision Mouse","High DPI gaming mouse with side macro keys",79.99,"Mice","Imported scraped dataset","DPI: Up to 16000; Buttons: 8"
"AeroBook Slim 14","Laptop with fast boot times and long battery life",899.99,"Laptops","Imported scraped dataset","CPU: Ryzen 7; RAM: 16GB; SSD: 1TB"
